,idx,用紙長,用紙幅,給紙トレイ,排紙トレイ,タイプ,線速,線速(数値),紙種,紙厚,id,F1給紙センサ_on,F2給紙センサ_on,LCT F1搬送センサ_on,LCT F2搬送センサ_on,LCT F3搬送センサ_on,バンク F3給紙センサ_on,バンク F４給紙センサ_on,レジストセンサ_on,レジストタイミングセンサ_on,両面センサ_on,両面入口センサ_on,両面出口センサ_on,反転センサ_on,定着入口センサ_on,定着出口センサ_on,排紙センサ_on,本体縦搬送センサ2_on,本体縦搬送センサ１_on,縦搬送センサ３_on,縦搬送センサ４_on,1bin排紙センサ_on,F1給紙センサ_off,F2給紙センサ_off,LCT F1搬送センサ_off,LCT F2搬送センサ_off,LCT F3搬送センサ_off,バンク F3給紙センサ_off,バンク F４給紙センサ_off,レジストセンサ_off,レジストタイミングセンサ_off,両面センサ_off,両面入口センサ_off,両面出口センサ_off,反転センサ_off,定着入口センサ_off,定着出口センサ_off,排紙センサ_off,本体縦搬送センサ2_off,本体縦搬送センサ１_off,縦搬送センサ３_off,縦搬送センサ４_off,1bin排紙センサ_off
0,284,297.0,210.0,トレイ2(バンクトレイ1),両面排紙.,タイプB,通常速,252,通常紙.,普通紙1,0,,,1.764,,,,,,-1.26,,0.0,1.512,,-0.504,-0.756,-2.52,,,,,0.0,,,0.756,,,,,,0.252,,0.0,,,0.0,0.0,1.764,,,,,0.0
2,288,297.0,210.0,トレイ2(バンクトレイ1),両面排紙.,タイプB,通常速,252,通常紙.,普通紙1,1,,,,,,,,,3.78,,,,,-0.504,-0.756,-1.512,,,,,,,,,,,,,,0.252,,,7.56,,0.0,0.0,2.772,,,,,
1,318,297.0,210.0,トレイ2(バンクトレイ1),両面排紙.,タイプB,通常速,252,通常紙.,普通紙1,2,,,1.764,,,,,,-2.268,,0.0,1.512,,-1.512,-1.764,-2.52,,,,,0.0,,,0.756,,,,,,0.252,,0.0,,,0.0,0.0,0.756,,,,,0.0
4,328,297.0,210.0,両面トレイ,本体排紙トレイ.,タイプB,通常速,252,通常紙.,普通紙1,3,,,,,,,,,3.78,,,,,-0.504,-0.756,-2.52,,,,,,,,,,,,,,0.252,,,7.56,,0.0,0.0,2.772,,,,,
3,379,297.0,210.0,トレイ2(バンクトレイ1),両面排紙.,タイプB,通常速,252,通常紙.,普通紙1,4,,,0.756,,,,,,-1.26,,0.0,0.504,,-1.512,-1.764,-3.528,,,,,0.0,,,0.756,,,,,,0.252,,0.0,,,0.0,0.0,0.756,,,,,0.0
6,389,297.0,210.0,両面トレイ,本体排紙トレイ.,タイプB,通常速,252,通常紙.,普通紙1,5,,,,,,,,,2.772,,,,,-0.504,-0.756,-2.52,,,,,,,,,,,,,,0.252,,,7.56,,0.0,0.0,3.78,,,,,
5,512,297.0,210.0,トレイ2(バンクトレイ1),両面排紙.,タイプB,通常速,252,通常紙.,普通紙1,6,,,5.796,,,,,,-2.268,,0.0,1.512,,-1.512,-1.764,-2.52,,,,,0.0,,,-0.252,,,,,,0.252,,0.0,,,0.0,0.0,0.756,,,,,0.0
8,522,297.0,210.0,両面トレイ,本体排紙トレイ.,タイプB,通常速,252,通常紙.,普通紙1,7,,,,,,,,,2.772,,,,,-0.504,-0.756,-2.52,,,,,,,,,,,,,,0.252,,,5.544,,0.0,0.0,2.772,,,,,
7,669,297.0,210.0,トレイ2(バンクトレイ1),両面排紙.,タイプB,通常速,252,通常紙.,普通紙1,0,,,2.772,,,,,,-2.268,,0.0,1.512,,-1.512,-0.756,-2.52,,,,,0.0,,,0.756,,,,,,0.252,,0.0,,,0.0,0.0,1.764,,,,,0.0
9,682,297.0,210.0,両面トレイ,本体排紙トレイ.,タイプB,通常速,252,通常紙.,普通紙1,8,,,,,,,,,3.78,,,,,-0.504,-0.756,-1.512,,,,,,,,,,,,,,0.252,,,7.56,,0.0,0.0,1.764,,,,,
